"","V1"
"''cause",1
"''cookie",1
"''fog''",1
"''following",1
"''friends''",1
"''from",1
"''i",1
"''rush''",1
"''s",1
"''the",3
"''wrong",1
"'02",1
"'05",1
"'06",1
"'069",1
"'07",3
"'08",1
"'09",2
"'12",1
"'2012",1
"'247'",1
"'3'",1
"'30s",2
"'32",1
"'37",1
"'3945",1
"'40s",2
"'41",1
"'43",1
"'49er",1
"'49ers",1
"'50",1
"'50s",1
"'60s",3
"'69",1
"'70's",2
"'701",1
"'70s",10
"'72",2
"'73",4
"'74",1
"'75",1
"'76",1
"'79",2
"'80s",8
"'83",1
"'84",1
"'85",1
"'86",1
"'87",1
"'88",1
"'90s",3
"'92",1
"'93",1
"'95",1
"'97",3
"'98",5
"'a'",1
"'about'",1
"'above",1
"'absolutely",1
"'accidentally'",1
"'across",1
"'action'",1
"'ad",1
"'admiring",1
"'adorable'",1
"'affirmative",1
"'after",1
"'after'",2
"'against",1
"'ah",1
"'aha'",1
"'ahhhhh'",1
"'all",6
"'alright'",1
"'am",2
"'american'",3
"'amplification'",1
"'and",5
"'andrea's",1
"'angaboo",1
"'angry",1
"'anniversary'",1
"'anonymous'",1
"'anticivilization'",1
"'anticuts",1
"'antihuman'",1
"'antique'",1
"'antiwhite",1
"'anything",2
"'anything'",1
"'app'",1
"'appalled'",1
"'appearance'",1
"'application",1
"'aquarium'",1
"'aquibird'",1
"'arab",1
"'ardly",2
"'are",2
"'argument",1
"'arp",1
"'arrest'",1
"'art'",2
"'articles",1
"'as",6
"'aspire'",1
"'assistance'",1
"'attitude",1
"'attitude'",1
"'audition'",1
"'australia",2
"'available",1
"'ave",1
"'avignon",1
"'awesome'",1
"'b'",1
"'baby",1
"'baby'",1
"'back",1
"'background'",1
"'bad",1
"'bad'",1
"'badass",1
"'baingan",1
"'bake",1
"'bam'",1
"'bama",1
"'ban",1
"'ban'",1
"'bananas'",1
"'banner'",1
"'bar'",1
"'bare",1
"'barmaid",1
"'bash'",1
"'basic",1
"'be",2
"'bearable'but",1
"'beastly'",2
"'beautification'",1
"'beautiful",1
"'beauty",1
"'because",1
"'beef",1
"'been",1
"'beer'",1
"'before",2
"'before'",3
"'being",2
"'believer'",1
"'best",4
"'best'",1
"'better",1
"'better'",1
"'betty",1
"'bible",1
"'bible'",1
"'big",12
"'big'",1
"'biggirl'",1
"'black",4
"'blast",1
"'blessing'",1
"'blitz'",1
