"","V1"
"'''",1
"''13",1
"''a",1
"''adrock''",1
"''american",1
"''angelina",1
"''bad",1
"''before",1
"''black",1
"''bonus",1
"''bouquet",1
"''contributor''",1
"''couldn't",1
"''daisy",1
"''for",2
"''he",2
"''he's",3
"''how",1
"''hugo",1
"''i",3
"''i'd",1
"''i've",1
"''idol''",1
"''if",1
"''in",1
"''it's",1
"''jane",1
"''keep",1
"''lazy''",1
"''like",1
"''mike",1
"''mr",1
"''paradise",1
"''people",1
"''pina",1
"''playboy",1
"''rihanna",1
"''she",2
"''so",2
"''stole",1
"''tears",1
"''the",5
"''there",2
"''touch''",1
"''undefeated",1
"''we",5
"''when",1
"'00s",1
"'01",1
"'02",2
"'04",2
"'05",1
"'06",4
"'07",4
"'07'08",1
"'08",7
"'09",4
"'1'",1
"'10",3
"'11",2
"'12",1
"'199",1
"'2'",1
"'20s",1
"'30s",3
"'40s",4
"'50s",9
"'50sstyle",1
"'55",1
"'59",1
"'5th",1
"'60",2
"'60s",25
"'60sflavored",1
"'63",1
"'67",1
"'68",2
"'6869",1
"'70s",26
"'71",1
"'72",1
"'75",1
"'80s",19
"'81",1
"'84",1
"'85",2
"'87",3
"'90s",16
"'92",2
"'93",1
"'98",3
"'99",2
"'a'",1
"'aahs'",1
"'aargh'",1
"'act",1
"'action",1
"'active",1
"'affordable'",1
"'against",1
"'ah",1
"'ahhh'",1
"'alex",1
"'alice",1
"'all",1
"'all's",1
"'alphabet",1
"'always",1
"'america'",2
"'american",6
"'and",1
"'animal",1
"'apollo",1
"'apprentice'",1
"'are",4
"'arthur'",1
"'as",1
"'at",4
"'attention",1
"'authorized'",1
"'back",1
"'backdraft'",1
"'bad",1
"'bandstand'",1
"'barbeque'",1
"'be",1
"'beat",1
"'because",1
"'before'",1
"'best'",1
"'between",1
"'big",2
"'birds",1
"'body",1
"'bolt'",1
"'bones'",1
"'born",2
"'bothering'",1
"'breaking",1
"'brothers",1
"'bruising",1
"'buffy'",1
"'buy",1
"'buy'",1
"'c'mon",1
"'café",1
"'california",1
"'call",1
"'can",5
"'candy'",1
"'caps",2
"'cars",1
"'cars'themed",1
"'castaway'",1
"'cats",1
"'cause",8
"'chaos",1
"'characters'",1
"'check",1
"'chris",1
"'citizen",1
"'city",1
"'clearwater'",1
"'closed'",1
"'coach",3
"'combat",2
"'come",2
"'comparables'",1
"'compete",1
"'competition",1
"'competition'",1
"'connected",1
"'cosby'",1
"'crabs",1
"'crossfire'",1
"'crossroads'",1
"'crybaby'",1
"'cue",1
"'cut",1
"'dan",1
"'darling",1
"'daydream'",1
"'depressed'",1
"'deserve'",1
"'development",1
"'did",2
"'do",8
"'does",2
"'don",1
"'don't",2
"'dos",3
"'doughnut",1
"'dr",2
"'driving",1
"'during",1
"'early",1
"'ells'",1
"'em",30
"'everybody",1
"'everybodythoughttheywererich'",1
"'evita'",1
"'excited'",1
"'expletive",1
"'factotum",1
